t	x	y	z	adx	ady	adz
1352672390071	-4.658159	-0.4903325	-10.106298	-0.11168684	-0.008172203	-0.02015812
1352672390091	-3.8681788	-0.095342435	-8.934948	-0.061019164	0.013620347	0.04903324
1352672390126	-3.0645783	0.46309182	-7.8861814	0.0032688808	0.031054402	0.107873134
1352672390135	-1.6753027	1.7297841	-6.2244987	0.082266904	0.082266904	0.17815414
1352672390156	-0.6401563	2.002191	-5.407278	0.13184497	0.10188021	0.21084297
1352672390174	0.53119355	2.152015	-4.807983	0.18632637	0.12040387	0.24189737
1352672390195	1.5118586	2.383561	-4.372132	0.24571107	0.13238978	0.2707725
1352672390219	2.2609777	2.6014864	-4.385752	0.29419953	0.15527196	0.27948955
1352672390236	2.73769	2.8875136	-4.385752	0.327978	0.18523674	0.28875136
1352672390256	3.3914666	3.0100968	-3.840938	0.34813607	0.22773224	0.34650165
1352672390275	4.235928	2.9964764	-3.0645783	0.36448053	0.23209073	0.41841707
1352672390297	4.8352237	3.1190596	-2.2882185	0.40370715	0.28493768	0.52138686
1352672390315	5.053149	3.2825038	-1.7297841	0.39656168	0.28026485	0.5228118
1352672390336	5.325556	3.5412905	-1.4301366	0.45110592	0.321985	0.6390667
1352672390357	6.0201936	3.7864566	-1.0351465	0.47780183	0.33996388	0.6341633
1352672390376	6.769313	3.8273177	-0.44947147	0.4908773	0.32906762	0.6178189
1352672390397	7.6137743	3.92266	0.58567494	0.52138686	0.32035062	0.6183638
1352672390418	7.5456724	4.113345	1.607201	0.5208421	0.31762657	0.63307375
1352672390437	7.8998017	4.508335	3.3914666	0.52737993	0.32852283	0.7071684
1352672390462	7.3005066	5.0803895	3.486809	0.5023185	0.3459569	0.7169751
1352672390479	7.3958488	5.5162406	2.9964764	0.4914222	0.34704655	0.6891896
1352672390498	7.954283	5.597963	3.1871614	0.5148492	0.33233657	0.67447966
1352672390518	8.989429	5.2574544	3.9771416	0.56769615	0.29365477	0.67175555
1352672390538	9.697687	4.930566	5.1621118	0.59493685	0.2560626	0.694093
1352672390558	8.008764	5.053149	5.1893525	0.5202973	0.23699409	0.65868
1352672390602	6.115536	5.529861	4.5219555	0.41598812	0.23438348	0.5607043
1352672390603	5.8976107	5.3800373	2.6968288	0.39063156	0.2190152	0.4652711
1352672390620	6.619489	5.134871	1.1168685	0.38736266	0.18687117	0.360122
1352672390639	6.782933	4.930566	0.92618364	0.33832946	0.12803127	0.2860273
1352672390660	6.0201936	4.767122	0.81722087	0.26641405	0.11059723	0.24897996
1352672390680	4.6445384	4.6445384	-0.05448139	0.16453382	0.099700935	0.19014007
1352672390700	3.840938	4.2223077	-1.6208214	0.09316321	0.073549874	0.11005239
1352672390720	3.800077	3.6774938	-2.982856	0.06156397	0.043040294	0.05611582
1352672390740	3.8954194	3.0645783	-3.568531	0.046309177	0.007082586	0.032688823
1352672390776	3.3097446	2.6287272	-3.8954194	-0.0032688808	-0.015254783	-0.0021792364
1352672390783	2.070293	2.547005	-4.8897047	-0.086625405	-0.017978858	-0.07300504
1352672390802	0.7354988	2.5606253	-6.0610547	-0.163989	-0.02233737	-0.15091346
1352672390822	0.32688835	2.2064962	-7.0689607	-0.18905042	-0.043040305	-0.21356705
1352672390842	0.6401563	1.4709976	-7.5320525	-0.18741596	-0.08281172	-0.24407665
